groupId,count,score,text
1739990643000000024,873893,4.39,duration=* policy_id=* service=http proto=* src zone=Private dst zone=Trust action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1739990605000000007,650739,4.37,duration=* policy_id=* service=tcp/port:* proto=* src zone=Private dst zone=Trust action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1739990645000000028,399488,4.39,duration=* policy_id=* service=http proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1739990643000000025,338393,4.42,duration=* policy_id=* service=tcp/port:* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP RST
1739990601000000003,182098,4.51,duration=* policy_id=* service=dns proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - RESP
1739990603000000004,143863,4.69,duration=* policy_id=* service=https proto=* src zone=Trust dst zone=Private action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745775605000000001,104598,4.46,duration=* policy_id=* service=http proto=* src zone=Private dst zone=Trust action=Permit sent=* rcvd=* src=* dst=192.168.48.5 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.48.5 port=* session_id=* reason=Close - TCP FIN
1739990612000000013,90207,4.58,duration=* policy_id=* service=tcp/port:* proto=* src zone=Private dst zone=Trust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990613000000014,58290,4.68,duration=* policy_id=* service=* (*) proto=* src zone=Trust dst zone=Private action=Deny sent=* rcvd=* src=192.168.48.33 dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990615000000015,57789,4.71,duration=* policy_id=* service=* * proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.88.1 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.88.1 port=* session_id=* reason=Close - AGE OUT
1745098021000000003,57672,4.71,duration=* policy_id=* service=tcp/port:* proto=* src zone=Untrust dst zone=Trust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990603000000005,57346,4.73,duration=* policy_id=* service=Network Time proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1745676001000000001,54462,4.57,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.33 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.33 port=* dst-xlated ip=* port=* session_id=* reason=Close - RESP
1739990783000000058,51892,4.46,duration=* policy_id=* service=http proto=* src zone=* dst zone=Trust action=Permit sent=* rcvd=* src=* dst=192.168.48.5 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.48.5 port=* session_id=* reason=Close - TCP FIN
1739990605000000008,42833,4.37,duration=* policy_id=* service=tcp/port:* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1739990603000000006,32794,4.56,duration=* policy_id=* service=http proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1739990679000000038,31026,4.70,duration=* policy_id=* service=* (*) proto=* src zone=Trust dst zone=Private action=Deny sent=* rcvd=* src=192.168.48.132 dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
