groupId,lastUpdate,count,score,text
1739990643000000024,2025-04-29 17:40:04,873893,4.388,"Apr 29 17:40:04 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:01"" duration=3 policy_id=246 service=http proto=6 src zone=Private dst zone=Trust action=Permit sent=3214 rcvd=1964 src=192.168.46.163 dst=192.168.48.5 src_port=3451 dst_port=80 src-xlated ip=192.168.46.163 port=3451 dst-xlated ip=192.168.48.5 port=80 session_id=47729 reason=Close - TCP FIN"
1739990605000000007,2025-04-29 17:40:00,650739,4.369,"Apr 29 17:40:00 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:55"" duration=5 policy_id=300 service=tcp/port:10050 proto=6 src zone=Private dst zone=Trust action=Permit sent=409 rcvd=379 src=192.168.32.18 dst=192.168.48.132 src_port=33160 dst_port=10050 src-xlated ip=192.168.32.18 port=33160 dst-xlated ip=192.168.48.132 port=10050 session_id=47289 reason=Close - TCP FIN"
1739990645000000028,2025-04-29 17:39:08,399488,4.388,"Apr 29 17:39:08 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:04"" duration=4 policy_id=19 service=http proto=6 src zone=Trust dst zone=Private action=Permit sent=1063 rcvd=920 src=192.168.48.52 dst=192.168.46.155 src_port=55893 dst_port=80 src-xlated ip=192.168.48.52 port=55893 dst-xlated ip=192.168.46.155 port=80 session_id=47088 reason=Close - TCP FIN"
1739990643000000025,2025-04-29 17:40:04,338393,4.421,"Apr 29 17:40:04 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:03"" duration=1 policy_id=328 service=tcp/port:88 proto=6 src zone=Trust dst zone=Private action=Permit sent=1715 rcvd=1640 src=192.168.48.130 dst=192.168.14.245 src_port=24224 dst_port=88 src-xlated ip=192.168.48.130 port=24224 dst-xlated ip=192.168.14.245 port=88 session_id=46787 reason=Close - TCP RST"
1739990601000000003,2025-04-29 17:40:04,182098,4.507,"Apr 29 17:40:04 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:03"" duration=1 policy_id=328 service=dns proto=17 src zone=Trust dst zone=Private action=Permit sent=87 rcvd=103 src=192.168.48.130 dst=192.168.14.245 src_port=60586 dst_port=53 src-xlated ip=192.168.48.130 port=60586 dst-xlated ip=192.168.14.245 port=53 session_id=46458 reason=Close - RESP"
1739990603000000004,2025-04-29 17:40:02,143863,4.692,"Apr 29 17:40:02 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:01"" duration=0 policy_id=12 service=https proto=6 src zone=Trust dst zone=Private action=Deny sent=0 rcvd=32 src=192.168.48.24 dst=216.58.220.131 src_port=64878 dst_port=443 session_id=0 reason=Traffic Denied"
1745775605000000001,2025-04-29 16:59:22,104598,4.459,"Apr 29 16:59:22 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 16:59:17"" duration=5 policy_id=246 service=http proto=6 src zone=Private dst zone=Trust action=Permit sent=3822 rcvd=2151 src=192.168.46.164 dst=192.168.48.5 src_port=1282 dst_port=80 src-xlated ip=192.168.46.164 port=1282 dst-xlated ip=192.168.48.5 port=80 session_id=47982 reason=Close - TCP FIN"
1739990612000000013,2025-04-29 17:38:58,90207,4.577,"Apr 29 17:38:58 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:38:57"" duration=0 policy_id=7 service=tcp/port:445 proto=6 src zone=Private dst zone=Trust action=Deny sent=0 rcvd=32 src=192.168.11.18 dst=192.168.48.33 src_port=63011 dst_port=445 session_id=0 reason=Traffic Denied"
1739990613000000014,2025-04-29 17:40:03,58290,4.678,"Apr 29 17:40:03 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:02"" duration=0 policy_id=12 service=NETBIOS (NS) proto=17 src zone=Trust dst zone=Private action=Deny sent=0 rcvd=58 src=192.168.48.33 dst=192.168.88.216 src_port=137 dst_port=137 session_id=0 reason=Traffic Denied"
1739990615000000015,2025-04-29 17:40:02,57789,4.711,"Apr 29 17:40:02 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:00"" duration=62 policy_id=19 service=Network Time proto=17 src zone=Trust dst zone=Private action=Permit sent=94 rcvd=94 src=192.168.48.134 dst=192.168.88.1 src_port=123 dst_port=123 src-xlated ip=192.168.48.134 port=123 dst-xlated ip=192.168.88.1 port=123 session_id=47957 reason=Close - AGE OUT"
