groupId,count,score,text
1739990606000000004,725967,4.32,duration=* policy_id=* service=Network Time proto=* src zone=Trust dst zone=Untrust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990606000000001,441042,4.28,duration=* policy_id=* service=tcp/port:* proto=* src zone=Trust dst zone=Untrust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990606000000003,272686,4.48,duration=* policy_id=* service=udp/port:* proto=* src zone=Trust dst zone=Untrust action=Deny sent=* rcvd=* src=192.168.12.14 dst=52.195.66.130 src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990609000000007,190161,4.38,duration=* policy_id=* service=tcp/port:* proto=* src zone=Trust dst zone=Untrust action=Deny sent=* rcvd=* src=192.168.4.78 dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990621000000015,120007,4.28,duration=* policy_id=* service=tcp/port:* proto=* src zone=Untrust dst zone=Trust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990613000000012,86031,6.76,* * IKESA: Initiated negotiations.
1739991001000000037,82412,4.40,duration=* policy_id=* service=tcp/port:* proto=* src zone=OpenVPN dst zone=Trust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745305568000000004,78669,4.46,duration=* policy_id=* service=* proto=* src zone=DMZ dst zone=Untrust action=Deny sent=* rcvd=* src=192.168.64.7 dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1742538096000000001,68381,6.78,IKE * * packet: Retransmission limit has been reached.
1739990641000000019,61528,6.72,IKE * Phase *: Retransmission limit has been reached.
1745520424000000002,61168,4.51,duration=* policy_id=* service=tcp/port:* proto=* src zone=Untrust dst zone=Trust action=Deny sent=* rcvd=* src=192.168.140.88 dst=192.168.254.105 src_port=* dst_port=* session_id=* reason=Traffic Denied
1745520420000000001,60104,4.40,duration=* policy_id=* service=tcp/port:* proto=* src zone=Trust dst zone=Untrust action=Deny sent=* rcvd=* src=192.168.4.49 dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990634000000018,57766,4.38,duration=* policy_id=* service=tcp/port:* proto=* src zone=DMZ dst zone=Trust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990654000000024,41154,6.92,IKE202.214.113.11 * Phase *: Initiated negotiations * main mode.
1739990607000000005,40463,6.75,IKE 210.184.113.40 Phase *: * * MAIN mode negotiations.
1739990607000000006,40453,7.88,Rejected an IKE packet on ethernet0/* from 210.184.113.40:* to 202.214.113.11:* with cookies * and * because There were no acceptable Phase * proposals.
1739990611000000009,38974,7.82,"IKE 210.184.113.40 Phase *: Discarded a second initial packet, which arrived within * seconds after the first."
1739990618000000013,26500,7.04,IKE * IKESA: Responder starts negotiations.
1739990618000000014,26446,7.20,IKE * * SA with IKE SA *: Initiated negotiations.
1739990649000000022,22664,4.26,duration=* policy_id=* service=* (tcp) proto=* src zone=Untrust dst zone=Trust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
