groupId,lastUpdate,count,score,text
1739990606000000004,2025-04-29 17:40:20,725967,4.322,"Apr 29 17:40:20 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:21"" duration=0 policy_id=10 service=Network Time proto=17 src zone=Trust dst zone=Untrust action=Deny sent=0 rcvd=56 src=192.168.2.103 dst=129.250.35.251 src_port=123 dst_port=123 session_id=0 reason=Traffic Denied"
1739990606000000001,2025-04-29 17:40:21,441042,4.279,"Apr 29 17:40:21 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:21"" duration=0 policy_id=10 service=tcp/port:8883 proto=6 src zone=Trust dst zone=Untrust action=Deny sent=0 rcvd=32 src=192.168.9.46 dst=38.90.226.64 src_port=64558 dst_port=8883 session_id=0 reason=Traffic Denied"
1739990606000000003,2025-04-29 17:40:20,272686,4.483,"Apr 29 17:40:20 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:20"" duration=0 policy_id=10 service=udp/port:21116 proto=17 src zone=Trust dst zone=Untrust action=Deny sent=0 rcvd=93 src=192.168.12.14 dst=52.195.66.130 src_port=60517 dst_port=21116 session_id=0 reason=Traffic Denied"
1739990609000000007,2025-04-29 17:40:05,190161,4.376,"Apr 29 17:40:05 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:05"" duration=0 policy_id=10 service=tcp/port:27017 proto=6 src zone=Trust dst zone=Untrust action=Deny sent=0 rcvd=40 src=192.168.4.78 dst=89.194.253.188 src_port=47594 dst_port=27017 session_id=0 reason=Traffic Denied"
1739990621000000015,2025-04-29 17:40:18,120007,4.279,"Apr 29 17:40:18 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:18"" duration=0 policy_id=2 service=tcp/port:10051 proto=6 src zone=Untrust dst zone=Trust action=Deny sent=0 rcvd=40 src=192.168.61.103 dst=192.168.32.18 src_port=20992 dst_port=10051 session_id=0 reason=Traffic Denied"
1739990613000000012,2025-04-29 17:40:17,86031,6.763,Apr 29 17:40:17 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE124.35.140.186 202.72.214.90 IKESA: Initiated negotiations. (2025-04-29 17:40:17)
1739991001000000037,2025-04-29 17:40:18,82412,4.401,"Apr 29 17:40:18 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:18"" duration=0 policy_id=546 service=tcp/port:631 proto=6 src zone=OpenVPN dst zone=Trust action=Deny sent=0 rcvd=32 src=192.168.182.217 dst=192.168.11.8 src_port=54748 dst_port=631 session_id=0 reason=Traffic Denied"
1745305568000000004,2025-04-29 17:40:21,78669,4.459,"Apr 29 17:40:21 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:21"" duration=0 policy_id=14 service=https proto=6 src zone=DMZ dst zone=Untrust action=Deny sent=0 rcvd=40 src=192.168.64.7 dst=142.250.196.106 src_port=53288 dst_port=443 session_id=0 reason=Traffic Denied"
1742538096000000001,2025-04-29 17:40:19,68381,6.782,Apr 29 17:40:19 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE 210.128.16.225 IKEV2 packet: Retransmission limit has been reached. (2025-04-29 17:40:20)
1739990641000000019,2025-04-29 17:40:04,61528,6.719,Apr 29 17:40:04 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE 210.184.113.45 Phase 1: Retransmission limit has been reached. (2025-04-29 17:40:05)
1745520424000000002,2025-04-29 17:40:20,61168,4.512,"Apr 29 17:40:20 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:21"" duration=0 policy_id=2 service=tcp/port:24800 proto=6 src zone=Untrust dst zone=Trust action=Deny sent=0 rcvd=32 src=192.168.140.88 dst=192.168.254.105 src_port=58099 dst_port=24800 session_id=0 reason=Traffic Denied"
1745520420000000001,2025-04-29 17:40:20,60104,4.401,"Apr 29 17:40:20 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:20"" duration=0 policy_id=10 service=tcp/port:5938 proto=6 src zone=Trust dst zone=Untrust action=Deny sent=0 rcvd=32 src=192.168.4.49 dst=37.252.244.140 src_port=29827 dst_port=5938 session_id=0 reason=Traffic Denied"
1739990634000000018,2025-04-29 17:39:23,57766,4.376,"Apr 29 17:39:23 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:23"" duration=0 policy_id=13 service=tcp/port:10051 proto=6 src zone=DMZ dst zone=Trust action=Deny sent=0 rcvd=40 src=192.168.64.5 dst=192.168.32.18 src_port=48626 dst_port=10051 session_id=0 reason=Traffic Denied"
1739990654000000024,2025-04-29 17:39:42,41154,6.920,Apr 29 17:39:42 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE202.214.113.11 210.128.16.225 Phase 1: Initiated negotiations in main mode. (2025-04-29 17:39:43)
1739990607000000005,2025-04-29 17:40:21,40463,6.746,Apr 29 17:40:21 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE 210.184.113.40 Phase 1: Responder starts MAIN mode negotiations. (2025-04-29 17:40:21)
1739990607000000006,2025-04-29 17:40:21,40453,7.876,Apr 29 17:40:21 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: Rejected an IKE packet on ethernet0/1 from 210.184.113.40:500 to 202.214.113.11:500 with cookies 3a4dd537f14eb9d5 and 8b185cb2c51de7cd because There were no acceptable Phase 1 proposals. (2025-04-29 17:40:21)
1739990611000000009,2025-04-29 17:40:17,38974,7.817,"Apr 29 17:40:17 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE 210.184.113.40 Phase 1: Discarded a second initial packet, which arrived within 5 seconds after the first. (2025-04-29 17:40:17)"
1739990618000000013,2025-04-29 17:40:17,26500,7.036,Apr 29 17:40:17 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE 124.43.18.36 IKESA: Responder starts negotiations. (2025-04-29 17:40:17)
1739990618000000014,2025-04-29 17:40:17,26446,7.197,Apr 29 17:40:17 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE 124.43.18.36 CHILD SA with IKE SA INIT: Initiated negotiations. (2025-04-29 17:40:17)
1739990649000000022,2025-04-29 17:40:20,22664,4.260,"Apr 29 17:40:20 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:20"" duration=0 policy_id=2 service=smtp (tcp) proto=6 src zone=Untrust dst zone=Trust action=Deny sent=0 rcvd=24 src=210.184.113.36 dst=192.168.1.12 src_port=46314 dst_port=25 session_id=0 reason=Traffic Denied"
1745800838000000001,2025-04-29 17:40:07,20964,4.488,"Apr 29 17:40:07 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:07"" duration=0 policy_id=13 service=tcp/port:10051 proto=6 src zone=DMZ dst zone=Trust action=Deny sent=0 rcvd=40 src=192.168.64.7 dst=192.168.32.8 src_port=51046 dst_port=10051 session_id=0 reason=Traffic Denied"
1739990653000000023,2025-04-29 17:40:16,20378,6.940,Apr 29 17:40:16 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE124.35.140.186 210.184.113.45 Phase 1: Initiated negotiations in main mode. (2025-04-29 17:40:17)
1745764821000000001,2025-04-29 15:59:56,17692,0.000,Apr 29 15:59:56 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE 200.155.37.169 IKEV2 packet: Retransmission limit has been reached. (2025-04-29 15:59:56)
1739992499000000009,2025-04-29 17:23:00,17469,4.331,"Apr 29 17:23:00 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:23:00"" duration=0 policy_id=10 service=udp/port:53535 proto=17 src zone=Trust dst zone=Untrust action=Deny sent=0 rcvd=89 src=192.168.14.2 dst=38.90.226.12 src_port=52076 dst_port=53535 session_id=0 reason=Traffic Denied"
1743376704000000005,2025-04-29 15:22:08,16818,0.000,"Apr 29 15:22:08 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 15:22:08"" duration=0 policy_id=546 service=udp/port:1900 proto=17 src zone=OpenVPN dst zone=Trust action=Deny sent=0 rcvd=132 src=192.168.183.81 dst=192.168.1.101 src_port=50162 dst_port=1900 session_id=0 reason=Traffic Denied"
1745278078000000021,2025-04-29 17:32:43,15644,4.472,"Apr 29 17:32:43 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:32:42"" duration=0 policy_id=14 service=https proto=6 src zone=DMZ dst zone=Untrust action=Deny sent=0 rcvd=32 src=192.168.64.170 dst=172.217.26.238 src_port=2746 dst_port=443 session_id=0 reason=Traffic Denied"
1743987296000000007,2025-04-29 17:40:14,12924,4.571,"Apr 29 17:40:14 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:14"" duration=0 policy_id=546 service=snmp proto=17 src zone=OpenVPN dst zone=Trust action=Deny sent=0 rcvd=86 src=192.168.182.213 dst=192.168.1.16 src_port=49673 dst_port=161 session_id=0 reason=Traffic Denied"
1744902005000000001,2025-04-29 17:39:47,12198,4.447,"Apr 29 17:39:47 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:47"" duration=0 policy_id=10 service=NETBIOS (NS) proto=17 src zone=Trust dst zone=Untrust action=Deny sent=0 rcvd=108 src=192.168.32.197 dst=10.0.1.1 src_port=137 dst_port=137 session_id=0 reason=Traffic Denied"
1745490155000000004,2025-04-29 17:23:57,8968,4.539,"Apr 29 17:23:57 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:23:56"" duration=0 policy_id=14 service=http proto=6 src zone=DMZ dst zone=Untrust action=Deny sent=0 rcvd=28 src=192.168.64.161 dst=34.107.221.82 src_port=2112 dst_port=80 session_id=0 reason=Traffic Denied"
1745430056000000002,2025-04-29 17:39:26,6864,6.760,Apr 29 17:39:26 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE 210.184.113.40 Phase 1: Retransmission limit has been reached. (2025-04-29 17:39:27)
1739990655000000025,2025-04-29 17:39:38,5798,6.844,Apr 29 17:39:38 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE202.214.113.11 210.184.113.40 Phase 1: Initiated negotiations in main mode. (2025-04-29 17:39:38)
1745768453000000002,2025-04-29 11:59:55,5840,0.000,Apr 29 11:59:55 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE202.214.113.11 202.72.214.90 IKESA: Initiated negotiations. (2025-04-29 11:59:55)
1739990880000000033,2025-04-29 17:37:47,5400,4.436,"Apr 29 17:37:47 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:37:46"" duration=0 policy_id=10 service=tcp/port:21116 proto=6 src zone=Trust dst zone=Untrust action=Deny sent=0 rcvd=32 src=192.168.12.14 dst=52.195.66.130 src_port=59915 dst_port=21116 session_id=0 reason=Traffic Denied"
1739990655000000026,2025-04-29 17:40:05,5140,5.619,"Apr 29 17:40:05 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:01"" duration=5 policy_id=1009 service=tcp/port:62257 proto=6 src zone=Trust dst zone=Untrust action=Permit sent=218 rcvd=391 src=192.168.48.84 dst=157.7.188.171 src_port=42554 dst_port=62257 src-xlated ip=202.214.113.11 port=42554 dst-xlated ip=157.7.188.171 port=62257 session_id=45674 reason=Close - TCP FIN"
1740009068000000005,2025-04-29 17:36:55,3936,5.766,"Apr 29 17:36:55 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:36:53"" duration=2 policy_id=1046 service=tcp/port:1817 proto=6 src zone=Trust dst zone=DMZ action=Permit sent=280 rcvd=256 src=192.168.130.5 dst=192.168.64.50 src_port=54782 dst_port=1817 src-xlated ip=192.168.130.5 port=54782 dst-xlated ip=192.168.64.50 port=1817 session_id=55002 reason=Close - TCP RST"
1739995470000000001,2025-04-29 17:34:57,3585,4.450,"Apr 29 17:34:57 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:34:56"" duration=0 policy_id=2 service=snmp-trap proto=17 src zone=Untrust dst zone=Trust action=Deny sent=0 rcvd=105 src=121.97.69.117 dst=192.168.1.20 src_port=51772 dst_port=162 session_id=0 reason=Traffic Denied"
1745862033000000001,2025-04-29 16:40:16,3188,0.000,Apr 29 03:45:53 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-information-00536: IKE V2 189.115.47.130: Received a notification message for 7 NOTIFY_MSG_INVALID_SYNTAX. (2025-04-29 03:45:53)
1739990870000000032,2025-04-29 17:31:57,2584,4.361,"Apr 29 17:31:57 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:31:56"" duration=0 policy_id=10 service=tcp/port:8883 proto=6 src zone=Trust dst zone=Untrust action=Deny sent=0 rcvd=32 src=192.168.12.14 dst=38.90.226.64 src_port=59893 dst_port=8883 session_id=0 reason=Traffic Denied"
1744844920000000002,2025-04-29 16:08:40,2452,0.000,"Apr 29 16:08:40 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 16:08:40"" duration=0 policy_id=13 service=snmp proto=17 src zone=DMZ dst zone=Trust action=Deny sent=0 rcvd=209 src=192.168.64.51 dst=192.168.32.10 src_port=52138 dst_port=161 session_id=0 reason=Traffic Denied"
1739990770000000029,2025-04-29 17:37:18,2443,4.428,"Apr 29 17:37:18 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:37:17"" duration=0 policy_id=13 service=udp/port:389 proto=17 src zone=DMZ dst zone=Trust action=Deny sent=0 rcvd=176 src=192.168.64.244 dst=192.168.14.235 src_port=2985 dst_port=389 session_id=0 reason=Traffic Denied"
1739990625000000016,2025-04-29 17:36:27,2296,4.548,"Apr 29 17:36:27 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:36:27"" duration=0 policy_id=11 service=NETBIOS (SSN) proto=6 src zone=Trust dst zone=DMZ action=Deny sent=0 rcvd=24 src=192.168.1.245 dst=192.168.64.221 src_port=4214 dst_port=139 session_id=0 reason=Traffic Denied"
1739990730000000027,2025-04-29 17:33:18,2274,4.518,"Apr 29 17:33:18 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:33:17"" duration=0 policy_id=2 service=dns proto=17 src zone=Untrust dst zone=Trust action=Deny sent=0 rcvd=47 src=192.168.61.100 dst=192.168.0.1 src_port=62757 dst_port=53 session_id=0 reason=Traffic Denied"
1745722801000000001,2025-04-29 16:00:04,1890,0.000,"Apr 29 16:00:04 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 16:00:03"" duration=0 policy_id=11 service=icmp proto=1 src zone=Trust dst zone=DMZ action=Deny sent=0 rcvd=64 src=192.168.1.20 dst=192.168.64.254 icmp type=8 icmp code=0 session_id=0 reason=Traffic Denied"
1739990835000000030,2025-04-29 17:36:18,1425,4.381,"Apr 29 17:36:18 nfpfw003 NFPFW003: NetScreen device_id=NFPFW003  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:36:18"" duration=0 policy_id=2 service=snmp-trap proto=17 src zone=Untrust dst zone=Trust action=Deny sent=0 rcvd=105 src=210.184.113.36 dst=192.168.32.18 src_port=14843 dst_port=162 session_id=0 reason=Traffic Denied"
