itemid,clock,value
1745883611000000001,1745881200,40
1745883611000000001,1745884800,120
1745883611000000001,1745888400,120
1745883611000000001,1745892000,120
1745883611000000001,1745895600,120
1745883611000000001,1745899200,212
1745883611000000001,1745902800,240
1745883611000000001,1745906400,240
1745883611000000001,1745910000,240
1745883611000000001,1745913600,168
1745781165000000003,1745794800,40
1745781165000000003,1745798400,120
1745781165000000003,1745802000,120
1745781165000000003,1745805600,120
1745781165000000003,1745809200,120
1745781165000000003,1745812800,120
1745781165000000003,1745816400,120
1745781165000000003,1745820000,120
1745781165000000003,1745823600,72
1745781165000000003,1745870400,116
1745781165000000003,1745874000,120
1745781165000000003,1745877600,120
1745781165000000003,1745881200,80
1745783081000000001,1745791200,108
1745783081000000001,1745794800,108
1745783081000000001,1745798400,108
1745783081000000001,1745802000,108
1745783081000000001,1745805600,108
1745783081000000001,1745809200,108
1745783081000000001,1745812800,108
1745783081000000001,1745816400,73
1745783081000000001,1745820000,35
1745783081000000001,1745823600,73
1745883868000000002,1745881200,27
1745883868000000002,1745884800,45
1745883868000000002,1745888400,63
1745883868000000002,1745892000,45
1745883868000000002,1745895600,81
1745883868000000002,1745899200,108
1745883868000000002,1745902800,72
1745883868000000002,1745910000,36
1745750655000000001,1745694000,12
1745750655000000001,1745697600,12
1745750655000000001,1745701200,12
1745750655000000001,1745704800,12
1745750655000000001,1745708400,12
1745750655000000001,1745712000,12
1745750655000000001,1745715600,12
1745750655000000001,1745719200,12
1745750655000000001,1745722800,12
1745750655000000001,1745726400,12
1745750655000000001,1745730000,12
1745750655000000001,1745733600,12
1745750655000000001,1745737200,12
1745750655000000001,1745740800,12
1745750655000000001,1745744400,12
1745750655000000001,1745748000,12
1745750655000000001,1745751600,12
1745750655000000001,1745755200,12
1745750655000000001,1745758800,12
1745750655000000001,1745762400,11
1745750655000000001,1745766000,12
1745750655000000001,1745769600,12
1745750655000000001,1745859600,4
1745750655000000001,1745863200,2
1745750655000000001,1745866800,12
1745750655000000001,1745870400,12
1745750655000000001,1745874000,12
1745750655000000001,1745877600,12
1745750655000000001,1745881200,12
1745750655000000001,1745884800,12
1745642252000000001,1745816400,35
1745642252000000001,1745820000,73
1745642252000000001,1745870400,45
1745642252000000001,1745874000,36
1745642252000000001,1745877600,72
1745642252000000001,1745881200,27
1745905468000000001,1745902800,36
1745905468000000001,1745906400,108
1745905468000000001,1745910000,72
1745905468000000001,1745913600,72
1745632963000000001,1745791200,12
1745632963000000001,1745794800,12
1745632963000000001,1745798400,12
1745632963000000001,1745802000,12
1745632963000000001,1745805600,12
1745632963000000001,1745809200,12
1745632963000000001,1745812800,12
1745632963000000001,1745816400,12
1745632963000000001,1745820000,12
1745632963000000001,1745823600,12
1745632963000000001,1745827200,12
1745632963000000001,1745830800,12
1745632963000000001,1745834400,12
1745632963000000001,1745838000,12
1745632963000000001,1745841600,12
1745632963000000001,1745845200,12
1745632963000000001,1745848800,8
1745632963000000001,1745852400,8
1745632963000000001,1745856000,9
1745632963000000001,1745899200,12
1745632963000000001,1745902800,12
1745632963000000001,1745906400,12
1745632963000000001,1745910000,12
1745632963000000001,1745913600,8
1745870460000000002,1745870400,117
1745870460000000002,1745874000,72
1745870460000000002,1745877600,36
1745870460000000002,1745881200,45
1745884768000000005,1745881200,9
1745884768000000005,1745884800,63
1745884768000000005,1745888400,45
1745884768000000005,1745892000,63
1745884768000000005,1745895600,27
1739991320000000006,1745708400,1
1739991320000000006,1745712000,6
1739991320000000006,1745715600,2
1739991320000000006,1745719200,4
1739991320000000006,1745726400,1
1739991320000000006,1745730000,3
1739991320000000006,1745733600,5
1739991320000000006,1745737200,1
1739991320000000006,1745740800,1
1739991320000000006,1745744400,1
1739991320000000006,1745751600,2
1739991320000000006,1745755200,2
1739991320000000006,1745791200,3
1739991320000000006,1745794800,13
1739991320000000006,1745798400,30
1739991320000000006,1745802000,8
1739991320000000006,1745805600,10
1739991320000000006,1745809200,6
1739991320000000006,1745812800,11
1739991320000000006,1745816400,9
1739991320000000006,1745820000,4
1739991320000000006,1745823600,4
1739991320000000006,1745827200,4
1739991320000000006,1745830800,5
1739991320000000006,1745841600,3
1739991320000000006,1745845200,1
1739991320000000006,1745848800,1
1739991320000000006,1745852400,1
1739991320000000006,1745856000,2
1739991320000000006,1745870400,1
1739991320000000006,1745874000,3
1739991320000000006,1745877600,1
1739991320000000006,1745881200,2
1739991320000000006,1745884800,11
1739991320000000006,1745888400,6
1739991320000000006,1745892000,6
1739991320000000006,1745895600,5
1739991320000000006,1745899200,2
1739991320000000006,1745902800,5
1739991320000000006,1745906400,2
1739991320000000006,1745910000,7
1739991320000000006,1745913600,3
1745791245000000001,1745791200,85
1745791245000000001,1745794800,80
1745791605000000002,1745791200,3
1745791605000000002,1745794800,15
1745791605000000002,1745798400,30
1745791605000000002,1745802000,8
1745791605000000002,1745805600,10
1745791605000000002,1745809200,6
1745791605000000002,1745812800,11
1745791605000000002,1745816400,9
1745791605000000002,1745820000,4
1745791605000000002,1745823600,4
1745791605000000002,1745827200,4
1745791605000000002,1745830800,6
1745791605000000002,1745881200,1
1745791605000000002,1745884800,11
1745791605000000002,1745888400,6
1745791605000000002,1745892000,5
1745452984000000001,1745708400,1
1745452984000000001,1745722800,1
1745452984000000001,1745740800,2
1745452984000000001,1745748000,2
1745452984000000001,1745755200,2
1745452984000000001,1745794800,3
1745452984000000001,1745798400,2
1745452984000000001,1745802000,2
1745452984000000001,1745805600,6
1745452984000000001,1745809200,5
1745452984000000001,1745812800,5
1745452984000000001,1745816400,6
1745452984000000001,1745820000,2
1745452984000000001,1745823600,4
1745452984000000001,1745827200,1
