groupId,count,score,text
1745883611000000001,3240,5.00,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Firewall"" log_component=""SSL VPN"" log_subtype=""Denied"" log_version=* severity=""Information"" fw_rule_id=""N/A"" nat_rule_id=""*"" fw_rule_type=""NETWORK"" ether_type=""IPv4 (0x0800)"" in_interface=""tun0"" src_ip=""192.168.160.2"" src_country=""R1"" dst_ip=""239.255.255.250"" dst_country=""R1"" protocol=""UDP"" src_port=* dst_port=* hb_status=""No Heartbeat"" app_resolved_by=""Signature"" app_is_cloud=""FALSE"" qualifier=""New"" in_display_interface=""tun0"" log_occurrence=""*"""
1745781165000000003,2776,0.00,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Firewall"" log_component=""SSL VPN"" log_subtype=""Denied"" log_version=* severity=""Information"" fw_rule_id=""N/A"" nat_rule_id=""*"" fw_rule_type=""NETWORK"" ether_type=""IPv4 (0x0800)"" in_interface=""*"" src_ip=""*"" src_country=""R1"" dst_ip=""239.255.255.250"" dst_country=""R1"" protocol=""UDP"" src_port=* dst_port=* hb_status=""No Heartbeat"" app_resolved_by=""Signature"" app_is_cloud=""FALSE"" qualifier=""New"" in_display_interface=""*"" log_occurrence=""*"""
1745783081000000001,1874,0.00,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Firewall"" log_component=""SSL VPN"" log_subtype=""Denied"" log_version=* severity=""Information"" fw_rule_id=""N/A"" nat_rule_id=""*"" fw_rule_type=""NETWORK"" ether_type=""IPv4 (0x0800)"" in_interface=""*"" src_ip=""*"" src_country=""R1"" dst_ip=""*"" dst_country=""*"" protocol=""*"" src_port=* dst_port=* hb_status=""No Heartbeat"" app_resolved_by=""Signature"" app_is_cloud=""FALSE"" qualifier=""New"" in_display_interface=""*"" log_occurrence=""*"""
1745883868000000002,954,4.99,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Firewall"" log_component=""SSL VPN"" log_subtype=""Denied"" log_version=* severity=""Information"" fw_rule_id=""N/A"" nat_rule_id=""*"" fw_rule_type=""NETWORK"" ether_type=""IPv4 (0x0800)"" in_interface=""tun0"" src_ip=""192.168.160.2"" src_country=""R1"" dst_ip=""*"" dst_country=""*"" protocol=""TCP"" src_port=* dst_port=* hb_status=""No Heartbeat"" app_resolved_by=""Signature"" app_is_cloud=""FALSE"" qualifier=""New"" in_display_interface=""tun0"" log_occurrence=""*"""
1745750655000000001,695,0.00,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Event"" log_component=""*"" log_subtype=""System"" log_version=* severity=""Information"""
1745642252000000001,576,0.00,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Firewall"" log_component=""SSL VPN"" log_subtype=""Denied"" log_version=* severity=""Information"" fw_rule_id=""N/A"" nat_rule_id=""*"" fw_rule_type=""NETWORK"" ether_type=""IPv4 (0x0800)"" in_interface=""*"" src_ip=""*"" src_country=""R1"" dst_ip=""*"" dst_country=""*"" protocol=""TCP"" src_port=* dst_port=* hb_status=""No Heartbeat"" app_resolved_by=""Signature"" app_is_cloud=""FALSE"" qualifier=""New"" in_display_interface=""*"" log_occurrence=""*"""
1745905468000000001,576,4.97,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Firewall"" log_component=""SSL VPN"" log_subtype=""Denied"" log_version=* severity=""Information"" fw_rule_id=""N/A"" nat_rule_id=""*"" fw_rule_type=""NETWORK"" ether_type=""IPv4 (0x0800)"" in_interface=""tun0"" src_ip=""192.168.160.2"" src_country=""R1"" dst_ip=""*"" dst_country=""*"" protocol=""*"" src_port=* dst_port=* hb_status=""No Heartbeat"" app_resolved_by=""Signature"" app_is_cloud=""FALSE"" qualifier=""New"" in_display_interface=""tun0"" log_occurrence=""*"""
1745632963000000001,546,4.73,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""*"" log_component=""*"" log_subtype=""*"" log_version=* severity=""Information"""
1745870460000000002,540,0.00,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Firewall"" log_component=""SSL VPN"" log_subtype=""Denied"" log_version=* severity=""Information"" fw_rule_id=""N/A"" nat_rule_id=""*"" fw_rule_type=""NETWORK"" ether_type=""IPv4 (0x0800)"" in_interface=""*"" src_ip=""*"" src_country=""R1"" dst_ip=""*"" dst_country=""GBR"" protocol=""TCP"" src_port=* dst_port=* hb_status=""No Heartbeat"" app_resolved_by=""Signature"" app_is_cloud=""FALSE"" qualifier=""New"" in_display_interface=""*"" log_occurrence=""*"""
1745884768000000005,414,0.00,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Firewall"" log_component=""SSL VPN"" log_subtype=""Denied"" log_version=* severity=""Information"" fw_rule_id=""N/A"" nat_rule_id=""*"" fw_rule_type=""NETWORK"" ether_type=""IPv4 (0x0800)"" in_interface=""tun0"" src_ip=""192.168.160.2"" src_country=""R1"" dst_ip=""*"" dst_country=""GBR"" protocol=""TCP"" src_port=* dst_port=* hb_status=""No Heartbeat"" app_resolved_by=""Signature"" app_is_cloud=""FALSE"" qualifier=""New"" in_display_interface=""tun0"" log_occurrence=""*"""
1739991320000000006,396,5.42,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Event"" log_component=""SSL VPN"" log_subtype=""System"" log_version=* severity=""Information"" *=""Remote Access"" user_name=""*"" src_ip=""*"" status=""*"" message=""SSL VPN User '*' * "" end=""*:*:*+*"" dst_ip=""*"" src_country=""R1"" dst_country=""R1"""
1745791245000000001,330,0.00,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Firewall"" log_component=""SSL VPN"" log_subtype=""Denied"" log_version=* severity=""Information"" fw_rule_id=""N/A"" nat_rule_id=""*"" fw_rule_type=""NETWORK"" ether_type=""IPv4 (0x0800)"" in_interface=""*"" src_ip=""*"" src_country=""R1"" dst_ip=""*"" dst_country=""R1"" protocol=""*"" src_port=* dst_port=* hb_status=""No Heartbeat"" app_resolved_by=""Signature"" app_is_cloud=""FALSE"" qualifier=""New"" in_display_interface=""*"" log_occurrence=""*"""
1745791605000000002,266,0.00,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Event"" log_component=""SSL VPN Authentication"" log_subtype=""Authentication"" log_version=* status=""Successful"" severity=""Information"" user_name=""*"" client_used=""SSLVPN"" *=""*"" src_ip=""*"" message=""User * * successfully to * to SSLVPN * * authentication *"" src_country=""*"""
1745452984000000001,208,6.06,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Event"" log_component=""SSL VPN"" log_subtype=""System"" log_version=* severity=""Information"" access_type=""Remote Access"" Reason=""Logout"" start=""*:*:*+*"" user_name=""*"" src_ip=""192.168.161.1"" bytes_sent=* bytes_received=* status=""Terminated"" message=""SSL VPN User '*' disconnected"" end=""*:*:*+*"" dst_ip=""*"" src_country=""R1"" dst_country=""R1"""
1745781165000000002,182,0.00,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Firewall"" log_component=""SSL VPN"" log_subtype=""Denied"" log_version=* severity=""Information"" fw_rule_id=""N/A"" nat_rule_id=""*"" fw_rule_type=""NETWORK"" ether_type=""IPv4 (0x0800)"" in_interface=""*"" src_ip=""*"" src_country=""R1"" dst_ip=""*"" dst_country=""R1"" protocol=""UDP"" src_port=* dst_port=* hb_status=""No Heartbeat"" app_resolved_by=""Signature"" app_is_cloud=""FALSE"" qualifier=""New"" in_display_interface=""*"" log_occurrence=""*"""
1744632132000000001,156,0.00,"device_serial_id=""X21018T9DWMFGDE"" log_id=""*"" log_type=""Event"" log_component=""*"" log_subtype=""*"" log_version=* severity=""Information"""
